t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,,kinE_wagen,kinE_bumper,kinE_total
4.279998,0,0,0.369658,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.299998,0,0,0.3782261,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.319998,0,0,0.3867942,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.339998,0,0,0.3953624,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.359998,0,0,0.4039305,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.379999,0,0,0.4124987,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.399999,0,0,0.4210668,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.419999,0,0,0.4296349,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.439999,0,0,0.4382031,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.459999,0,0,0.4467712,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.479999,0,0,0.4553393,0,0,0.4284066,0,0,0.005339339,-0.1067868,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.499999,0,0,0.4638007,0,0,0.4230673,0,0,0.0138007,-0.2760139,-0.8456995,0,,0.16922692,0,0.16922692,,0.035797188,0,0.035797188
4.519999,0,0,0.471986,0,0,0.4092666,0,0,0.02198602,-0.4397205,-0.8456995,0,,0.16370664,0,0.16370664,,0.03349983,0,0.03349983
4.539999,0,0,0.4797316,0,0,0.3872806,0,0,0.02973162,-0.5946323,-0.8456995,0,,0.15491224,0,0.15491224,,0.029997253,0,0.029997253
4.559999,0,0,0.4868826,0,0,0.357549,0,0,0.03688259,-0.7376519,-0.8456995,0,,0.1430196,0,0.1430196,,0.025568257,0,0.025568257
4.579998,0,0,0.4932959,0,0,0.3206664,0,0,0.0432959,-0.8659181,-0.8456995,0,,0.12826656,0,0.12826656,,0.020565388,0,0.020565388
4.599998,0,0,0.4988433,0,0,0.2773705,0,0,0.04884331,-0.9768662,-0.8456995,0,,0.1109482,0,0.1109482,,0.015386879,0,0.015386879
4.619998,0,0,0.5034139,0,0,0.2285272,0,0,0.05341385,-1.068277,-0.8456995,0,,0.09141088,0,0.09141088,,0.010444936,0,0.010444936
4.639998,0,0,0.5069161,0,0,0.1751134,0,0,0.0569161,-1.138322,-0.8456995,0,,0.07004536,0,0.07004536,,0.006132941,0,0.006132941
4.659998,0,0,0.50928,0,0,0.1181973,0,0,0.05928002,-1.185601,-0.8456995,0,,0.04727892,0,0.04727892,,0.00279412,0,0.00279412
4.679998,0,0,0.5104584,0,0,0.0589173,0,0,0.06045835,-1.209167,-0.8456995,0,,0.02356692,0,0.02356692,,0.00069425,0,0.00069425
