t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
4.721375,0,0,-0.5907955,0,0,0.02974389,0.1407955,2.815909,0,0,-0.8,0
4.741394,0,0,-0.5873847,0,0,0.1705393,0.1373847,2.747694,0,0,-0.8,0
4.761383,0,0,-0.5812262,0,0,0.307924,0.1312262,2.624525,0,0,-0.8,0
4.781372,0,0,-0.5724432,0,0,0.4391502,0.1224432,2.448865,0,0,-0.8,0
4.801392,0,0,-0.5612114,0,0,0.5615934,0.1112114,2.224228,0,0,-0.8,0
4.821381,0,0,-0.5477553,0,0,0.6728047,0.0977553,1.955106,0,0,-0.8,0
4.8414,0,0,-0.5323441,0,0,0.77056,0.0823441,1.646882,0,0,-0.8,0
4.861389,0,0,-0.515286,0,0,0.852904,0.06528603,1.305721,0,0,-0.8,0
4.881378,0,0,-0.4969222,0,0,0.91819,0.04692222,0.9384444,0,0,-0.8,0
4.901398,0,0,-0.47762,0,0,0.9651122,0.02761997,0.5523995,0,0,-0.8,0
4.921387,0,0,-0.4577653,0,0,0.9927322,0.007765338,0.1553068,0,0,-0.8,0
4.941376,0,0,-0.4377554,0,0,1.000497,0,0,0,0,-0.8,0
4.961395,0,0,-0.4177455,0,0,1.000497,0,0,0,0,-0.8,0
4.981384,0,0,-0.3977355,0,0,1.000497,0,0,0,0,-0.8,0
5.001373,0,0,-0.3777256,0,0,1.000497,0,0,0,0,-0.8,0
5.021393,0,0,-0.3577157,0,0,1.000497,0,0,0,0,-0.8,0
5.041382,0,0,-0.3377057,0,0,1.000497,0,0,0,0,-0.8,0
5.061371,0,0,-0.3176958,0,0,1.000497,0,0,0,0,-0.8,0
5.08139,0,0,-0.2976859,0,0,1.000497,0,0,0,0,-0.8,0
5.101379,0,0,-0.2776759,0,0,1.000497,0,0,0,0,-0.8,0
5.121399,0,0,-0.257666,0,0,1.000497,0,0,0,0,-0.8,0
5.141388,0,0,-0.2376561,0,0,1.000497,0,0,0,0,-0.8,0
5.161377,0,0,-0.2176461,0,0,1.000497,0,0,0,0,-0.8,0
5.181396,0,0,-0.1976362,0,0,1.000497,0,0,0,0,-0.8,0
5.201385,0,0,-0.1776263,0,0,1.000497,0,0,0,0,-0.8,0
5.221375,0,0,-0.1576163,0,0,1.000497,0,0,0,0,-0.8,0
5.241394,0,0,-0.1376064,0,0,1.000497,0,0,0,0,-0.8,0
5.261383,0,0,-0.1175964,0,0,1.000497,0,0,0,0,-0.8,0
5.281372,0,0,-0.0975865,0,0,1.000497,0,0,0,0,-0.8,0
5.301392,0,0,-0.07757656,0,0,1.000497,0,0,0,0,-0.8,0
5.321381,0,0,-0.05756661,0,0,1.000497,0,0,0,0,-0.8,0
5.3414,0,0,-0.03755667,0,0,1.000497,0,0,0,0,-0.8,0
5.361389,0,0,-0.01754673,0,0,1.000497,0,0,0,0,-0.8,0
